代碼,學校類別,學校名稱,學校名稱,是否倒閉,倒閉年,公/私立,公私立碼,體系別,體系碼,縣市名稱,地區,地區碼,106註冊率,107註冊率,108註冊率,109註冊率,110註冊率,111註冊率,112註冊率,113註冊率,備註,114核定招生名額,106師生比,107師生比,108師生比,109師生比,110師生比,111師生比,112師生比,113師生比,106負債率,107負債率,108負債率,109負債率,110負債率,111負債率,112負債率,106學生數,107學生數,108學生數,109學生數,110學生數,111學生數,112學生數,113學生數,106資金增減,107資金增減,108資金增減,109資金增減,110資金增減,111資金增減,112資金增減
1190,-,高鳳數位內容學院,高鳳數位內容學院,,103,私立,1,[2]技職,1,屏東縣,南部,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1154,-,永達技術學院,永達技術學院,,103,私立,1,[2]技職,1,高雄市,南部,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1288,-,高美醫護管理專科學校,高美醫護管理專科學校,,107,私立,1,[2]技職,1,高雄市,南部,2,47.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,17.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-11588,NaN,NaN,NaN,NaN,NaN,NaN
1189,-,亞太創意技術學院,亞太創意技術學院,,108,私立,1,[2]技職,1,苗栗縣,中部,1,69.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,7.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.21,NaN,NaN,NaN,NaN,NaN,NaN,343,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-39858,NaN,NaN,NaN,NaN,NaN,NaN
1074,-,南榮科技大學,南榮科技大學,,109,私立,1,[2]技職,1,臺南市,南部,2,32.17,56.41,NaN,NaN,NaN,NaN,NaN,NaN,,,13.25,9.67,NaN,NaN,NaN,NaN,NaN,NaN,3.22,NaN,NaN,NaN,NaN,NaN,NaN,1176,733,NaN,NaN,NaN,NaN,NaN,NaN,-41850,NaN,NaN,NaN,NaN,NaN,NaN
1176,-,稻江科技暨管理學院,稻江科技暨管理學院,,110,私立,1,[1]一般,0,嘉義縣,南部,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,24.17,27.02,25.7,8.41,NaN,NaN,NaN,NaN,4.47,3.12,2.11,NaN,NaN,NaN,NaN,1450,1540,1182,143,NaN,NaN,NaN,NaN,16360,1981,-7944,NaN,NaN,NaN,NaN
1192,-,臺灣觀光學院,臺灣觀光學院,,110,私立,1,[2]技職,1,花蓮縣,東部,3,29.87,77.96,78.84,39.47,NaN,NaN,NaN,NaN,,,16.55,23.96,20.89,16.4,NaN,NaN,NaN,NaN,4.43,3.11,3.02,NaN,NaN,NaN,NaN,526,442,289,109,NaN,NaN,NaN,NaN,-5940,-37679,-13741,NaN,NaN,NaN,NaN
1182,-,蘭陽技術學院,蘭陽技術學院,,111,私立,1,[2]技職,1,宜蘭縣,北部,0,43.89,63.73,80.83,92.37,NaN,NaN,NaN,NaN,108取消一半招生,,12.6,11.81,13.08,10.05,9.7,NaN,NaN,NaN,3.16,3.48,3.42,2.42,0.44,NaN,NaN,562,516,346,226,132,NaN,NaN,NaN,-21701,13831,-67,3176,-56730,NaN,NaN
1067,-,台灣首府大學,台灣首府大學,,112,私立,1,[1]一般,0,臺南市,南部,2,53.36,52.82,46.96,44.57,38.18,NaN,NaN,NaN,,,21.26,20.28,17.15,13.91,10.9,6.24,NaN,NaN,1.55,1.96,1.41,1.26,1.53,NaN,NaN,2232,1825,1269,918,643,256,NaN,NaN,-31161,-37043,-27245,-36631,4393,NaN,NaN
1159,-,和春技術學院,和春技術學院,,112,私立,1,[2]技職,1,高雄市,南部,2,35.48,47.46,58.01,64.34,NaN,NaN,NaN,NaN,,,10.92,8.15,8.78,4.92,3.17,1.78,NaN,NaN,2.39,1.71,1.55,1.31,NaN,NaN,NaN,784,413,278,156,77,24,NaN,NaN,-58994,-63895,-24484,-20599,NaN,NaN,NaN
